timestamp,customer_id,session_id,query_length_chars,response_length_chars,estimated_cost_usd,guardrail_triggered
2025-03-01T03:24:03Z,cust_0042,sess_h4i5j6,299,1800,0.0236,no
2025-03-01T03:25:16Z,cust_0042,sess_h4i5j6,320,1860,0.0244,no
2025-03-01T03:26:29Z,cust_0042,sess_h4i5j6,288,1770,0.0232,no
2025-03-01T03:27:42Z,cust_0042,sess_h4i5j6,304,1820,0.0238,no
2025-03-01T03:28:55Z,cust_0042,sess_h4i5j6,297,1790,0.0235,no
2025-03-01T03:30:08Z,cust_0042,sess_h4i5j6,315,1850,0.0242,no
2025-03-01T03:31:21Z,cust_0042,sess_h4i5j6,283,1750,0.0229,no
2025-03-01T03:32:34Z,cust_0042,sess_h4i5j6,310,1840,0.0241,no
2025-03-01T03:33:47Z,cust_0042,sess_h4i5j6,293,1780,0.0233,no
2025-03-01T03:35:00Z,cust_0042,sess_h4i5j6,318,1860,0.0244,no
2025-03-01T03:36:13Z,cust_0042,sess_h4i5j6,285,1750,0.0229,no
2025-03-01T03:37:26Z,cust_0042,sess_h4i5j6,311,1840,0.0241,no
2025-03-01T03:38:39Z,cust_0042,sess_h4i5j6,296,1790,0.0234,no
2025-03-01T03:39:52Z,cust_0042,sess_h4i5j6,308,1830,0.0240,no
2025-03-01T03:41:05Z,cust_0042,sess_h4i5j6,289,1760,0.0231,no
2025-03-01T03:42:18Z,cust_0042,sess_h4i5j6,314,1850,0.0243,no
2025-03-01T03:43:31Z,cust_0042,sess_h4i5j6,301,1810,0.0237,no
2025-03-01T03:44:44Z,cust_0042,sess_h4i5j6,306,1820,0.0238,no
2025-03-01T03:45:57Z,cust_0042,sess_h4i5j6,292,1770,0.0232,no
2025-03-01T03:47:10Z,cust_0042,sess_h4i5j6,317,1860,0.0244,no
2025-03-01T10:44:27Z,cust_0031,sess_k7l8m9,155,890,0.0131,no
2025-03-01T12:18:03Z,cust_0031,sess_k7l8m9,140,860,0.0128,no
2025-03-01T14:02:49Z,cust_0055,sess_n0o1p2,119,780,0.0121,no
2025-03-02T09:10:05Z,cust_0008,sess_q3r4s5,196,1010,0.0143,no
2025-03-02T10:35:22Z,cust_0008,sess_q3r4s5,148,870,0.0129,no
2025-03-02T13:00:39Z,cust_0078,sess_t6u7v8,163,930,0.0134,no
2025-03-03T09:45:14Z,cust_0099,sess_w9x0y1,5262,2330,0.0901,no
2025-03-03T10:02:31Z,cust_0099,sess_w9x0y1,5398,2290,0.0914,no
2025-03-03T10:19:48Z,cust_0099,sess_w9x0y1,5177,2350,0.0893,no
2025-03-03T11:22:06Z,cust_0088,sess_z2a3b4,218,1100,0.0155,yes
2025-03-03T11:36:21Z,cust_0088,sess_z2a3b4,193,1030,0.0146,yes
2025-03-03T11:50:37Z,cust_0088,sess_z2a3b4,207,1070,0.0151,no
2025-03-03T12:04:52Z,cust_0088,sess_z2a3b4,231,1130,0.0160,yes
2025-03-03T13:09:08Z,cust_0019,sess_c5d6e7,105,720,0.0116,no
2025-03-03T14:15:24Z,cust_0019,sess_c5d6e7,130,800,0.0123,no
2025-03-04T09:30:40Z,cust_0003,sess_f8g9h0,151,890,0.0131,no
2025-03-04T11:05:57Z,cust_0003,sess_f8g9h0,116,760,0.0119,no
2025-03-04T14:41:13Z,cust_0003,sess_f8g9h0,173,950,0.0136,no
2025-03-05T10:20:29Z,cust_0031,sess_i1j2k3,187,1000,0.0143,no
2025-03-05T13:55:46Z,cust_0055,sess_l4m5n6,109,730,0.0117,no
2025-03-05T15:30:02Z,cust_0078,sess_o7p8q9,142,860,0.0128,no
